SIREN,2017,2018,2020,2022,speed_2018,speed_2020,speed_2022,speed_2018_category,speed_2020_category,speed_2022_category
212703755,1.0,3.0,3.0,3.0,-0.9858490566037735,-0.9951690821256038,-0.9846153846153847,Down-Slopper,Down-Slopper,Down-Slopper
244900015,1.0,129.0,151.0,169.0,42.0,49.333333333333336,55.333333333333336,Long-Runner,Long-Runner,Long-Runner
212500565,1.0,1.0,20.0,42.0,-0.9922480620155039,-0.8675496688741722,-0.7514792899408285,Down-Slopper,Down-Slopper,Down-Slopper
212001630,1.0,12.0,12.0,12.0,11.0,-0.4,-0.7142857142857143,Long-Runner,Down-Slopper,Down-Slopper
213502883,1.0,50.0,103.0,102.0,3.166666666666667,7.583333333333334,7.5,Long-Runner,Long-Runner,Long-Runner
200039865,1.0,53.0,54.0,56.0,0.06000000000000005,-0.47572815533980584,-0.4509803921568627,Long-Runner,Down-Slopper,Down-Slopper
219200227,1.0,11.0,11.0,8.0,-0.7924528301886793,-0.7962962962962963,-0.8571428571428572,Down-Slopper,Down-Slopper,Down-Slopper
200057974,1.0,81.0,214.0,249.0,6.363636363636363,18.454545454545453,30.125,Long-Runner,Long-Runner,Long-Runner
229200506,1.0,285.0,287.0,397.0,2.5185185185185186,0.3411214953271029,0.5943775100401607,Long-Runner,Long-Runner,Long-Runner
229300082,1.0,621.0,529.0,424.0,1.1789473684210527,0.8432055749128919,0.06801007556675054,Long-Runner,Long-Runner,Long-Runner
219200755,1.0,14.0,15.0,6.0,-0.9774557165861514,-0.9716446124763705,-0.9858490566037735,Down-Slopper,Down-Slopper,Down-Slopper
219200771,1.0,14.0,17.0,38.0,0.0,0.1333333333333333,5.333333333333333,One-Shot,Long-Runner,Long-Runner
243500782,1.0,6.0,31.0,36.0,-0.5714285714285714,0.8235294117647058,-0.052631578947368474,Down-Slopper,Long-Runner,Down-Slopper
219200722,1.0,20.0,33.0,28.0,2.3333333333333335,0.06451612903225801,-0.2222222222222222,Long-Runner,Long-Runner,Down-Slopper
218708501,1.0,2.0,3.0,2.0,-0.9,-0.9090909090909091,-0.9285714285714286,Down-Slopper,Down-Slopper,Down-Slopper
222200016,1.0,228.0,261.0,295.0,113.0,86.0,146.5,Long-Runner,Long-Runner,Long-Runner
219400520,1.0,3.0,8.0,8.0,-0.9868421052631579,-0.9693486590038314,-0.9728813559322034,Down-Slopper,Down-Slopper,Down-Slopper
219200482,1.0,179.0,200.0,46.0,58.666666666666664,24.0,4.75,Long-Runner,Long-Runner,Long-Runner
219200128,1.0,34.0,36.0,44.0,-0.8100558659217877,-0.8200000000000001,-0.04347826086956519,Down-Slopper,Down-Slopper,Down-Slopper
200069854,1.0,235.0,304.0,439.0,5.911764705882353,7.444444444444445,8.977272727272727,Long-Runner,Long-Runner,Long-Runner
219200474,1.0,9.0,9.0,9.0,-0.9617021276595745,-0.9703947368421053,-0.979498861047836,Down-Slopper,Down-Slopper,Down-Slopper
200013704,1.0,2.0,2.0,2.0,-0.7777777777777778,-0.7777777777777778,-0.7777777777777778,Down-Slopper,Down-Slopper,Down-Slopper
242010056,1.0,119.0,123.0,123.0,58.5,60.5,60.5,Long-Runner,Long-Runner,Long-Runner
233500016,1.0,98.0,298.0,538.0,-0.17647058823529416,1.4227642276422765,3.3739837398373984,Down-Slopper,Long-Runner,Long-Runner
200042174,1.0,119.0,109.0,137.0,0.2142857142857142,-0.6342281879194631,-0.7453531598513011,Long-Runner,Down-Slopper,Down-Slopper
200052264,1.0,44.0,66.0,570.0,-0.6302521008403361,-0.39449541284403666,3.1605839416058394,Down-Slopper,Down-Slopper,Long-Runner
200053403,1.0,49.0,31.0,29.0,0.11363636363636354,-0.5303030303030303,-0.9491228070175438,Long-Runner,Down-Slopper,Down-Slopper
210102521,1.0,5.0,5.0,5.0,-0.8979591836734694,-0.8387096774193549,-0.8275862068965517,Down-Slopper,Down-Slopper,Down-Slopper
241700640,1.0,15.0,16.0,16.0,2.0,2.2,2.2,Long-Runner,Long-Runner,Long-Runner
215500299,1.0,27.0,32.0,37.0,0.8,1.0,1.3125,Long-Runner,Long-Runner,Long-Runner
200033025,1.0,37.0,57.0,66.0,0.37037037037037046,0.78125,0.7837837837837838,Long-Runner,Long-Runner,Long-Runner
200013746,1.0,12.0,18.0,18.0,-0.6756756756756757,-0.6842105263157895,-0.7272727272727273,Down-Slopper,Down-Slopper,Down-Slopper
223200015,1.0,46.0,38.0,42.0,2.8333333333333335,1.1111111111111112,1.3333333333333335,Long-Runner,Long-Runner,Long-Runner
200040715,1.0,14.0,28.0,55.0,-0.6956521739130435,-0.26315789473684215,0.30952380952380953,Down-Slopper,Down-Slopper,Long-Runner
211403662,1.0,1.0,13.0,13.0,-0.9285714285714286,-0.5357142857142857,-0.7636363636363637,Down-Slopper,Down-Slopper,Down-Slopper
224500017,1.0,223.0,224.0,77.0,222.0,16.23076923076923,4.923076923076923,Long-Runner,Long-Runner,Long-Runner
